City,State,BankState,Term,NoEmp,NewExist,UrbanRural,DisbursementGross,MIS_Status
WINSOR MILL,MD,CA,84,1,Existing Business,Urban,10000,0
SPOTSYLVANIA,VA,VA,60,7,Existing Business,Undefined,35000,0
Fall River,MA,MA,12,1,New Business,Undefined,10000,0
AKRON,OH,OH,120,5,New Business,Undefined,99963,0
Boston,MA,RI,12,1,New Business,Undefined,25000,0
SWARTHMORE,PA,PA,42,2,New Business,Undefined,15000,0
Castro Valley,CA,SD,84,2,New Business,Undefined,15000,0
PERRYSBURG,OH,OH,96,1,Existing Business,Undefined,60000,0
Beaverton,OR,SD,84,3,New Business,Undefined,25000,0
CLINTON (CENSUS NAME FOR CLINT,ME,SD,167,9,New Business,Urban,1350000,1
SHAWNEE MISSION,KS,MO,84,5,New Business,Undefined,83711,0
Spring Lake,MI,SD,7,10,New Business,Undefined,25000,1
Greenville,NC,SD,84,8,New Business,Undefined,10000,0
LOS ANGELES,CA,CA,36,20,Existing Business,Urban,35000,0
SANTA ANA,CA,CA,300,50,New Business,Undefined,745000,0
Grass Valley,OR,SD,37,7,New Business,Undefined,20000,1
WASILLA,AK,SD,83,2,New Business,Urban,78218,0
KIRKLAND,WA,WA,12,10,New Business,Undefined,30000,0
BURNET,TX,SD,26,4,Existing Business,Rural,60859,1
CHESAPEAKE,VA,VA,240,18,New Business,Undefined,183000,0
Patterson,CA,SD,84,2,New Business,Undefined,18107,0
Fresno,CA,SD,84,3,New Business,Undefined,10000,0
GRAND JUNCTION,CO,SD,264,9,New Business,Urban,1524200,0
YUBA CITY,CA,CA,60,3,New Business,Undefined,40000,0
Lawrence,MA,NC,60,9,New Business,Undefined,100000,0
CANTON,MI,MI,72,1,Existing Business,Undefined,384000,0
Boston,MA,MA,24,20,New Business,Undefined,50000,0
Victor,MT,SD,84,1,New Business,Rural,25000,0
IRVINE,CA,SD,36,18,New Business,Urban,577000,0
FORT WASHINGTON,PA,PA,84,5,Existing Business,Undefined,35000,0
Sheridan,WY,SD,84,1,New Business,Undefined,10000,0
NORTH HILLS,CA,CA,84,1,Existing Business,Urban,5000,0
PEARL,MS,MS,72,5,Existing Business,Undefined,22380,0
Wilmington,MA,MA,12,3,New Business,Undefined,100000,0
SEATTLE,WA,OH,5,1,Existing Business,Urban,28090,1
PLEASANT GROVE,UT,UT,240,20,New Business,Undefined,208000,0
Manchester,NH,RI,60,4,New Business,Undefined,44650,0
Leicester (census name Leicest,MA,MA,12,4,New Business,Undefined,25000,0
Pueblo,CO,SD,84,3,New Business,Undefined,7015,0
Orangeburg,SC,SD,84,3,New Business,Undefined,14027,0
THORNTON,CO,IL,54,4,New Business,Rural,76432,1
VINTON,VA,VA,240,17,New Business,Undefined,357000,0
Redondo Beach,CA,SD,84,1,New Business,Undefined,25000,0
Waterville,WA,SD,84,7,New Business,Undefined,4987,0
Pittsburgh,PA,SD,84,2,New Business,Undefined,20000,0
BELLE CHASSE,LA,LA,120,16,Existing Business,Undefined,150000,0
Vancouver,WA,SD,84,3,New Business,Undefined,10000,0
CEDAR RAPIDS,IA,IA,87,6,New Business,Undefined,46531,0
Clackamas,OR,SD,84,2,New Business,Undefined,10000,0
Cotuit,MA,MA,300,5,New Business,Undefined,60000,0
Garden Grove,CA,SD,84,3,New Business,Undefined,8820,0
PROVIDENCE,RI,NC,12,32,New Business,Undefined,10000,0
Seekonk (Town of),MA,MA,12,5,New Business,Undefined,50000,0
Valencia,CA,SD,84,9,New Business,Undefined,7085,0
Moses Lake,WA,SD,84,6,New Business,Undefined,10000,1
MANHATTAN,KS,KS,84,5,Existing Business,Undefined,50000,0
Kansas City,MO,SD,84,5,New Business,Undefined,20000,0
GREENWOOD,IN,IN,66,2,Existing Business,Undefined,60000,0
Narragansett (census name Narr,RI,NC,12,5,New Business,Undefined,50000,0
MAYNARD,MA,NC,60,2,Existing Business,Undefined,45000,0
Atkinson,NH,RI,12,3,New Business,Undefined,22000,0
SOUTH BEND,IN,CA,161,20,Existing Business,Undefined,2000000,1
Atkinson,NH,RI,60,3,New Business,Undefined,28000,0
BALTIMORE,MD,NC,180,2,New Business,Undefined,98500,0
Arcadia,CA,SD,84,4,New Business,Undefined,10000,0
TIGARD,OR,OR,60,31,New Business,Undefined,450000,0
Wareham,MA,NC,12,5,New Business,Undefined,50000,0
JACKSON,MI,MI,240,3,Existing Business,Undefined,83000,0
Boston,MA,NC,12,3,New Business,Undefined,30000,0
HUNTINGTON,WV,WV,71,19,Existing Business,Undefined,180000,1
Wappapello,MO,SD,4,3,New Business,Undefined,20000,1
Olney,MD,SD,84,20,New Business,Undefined,50000,0
MERIDIAN,ID,SD,300,12,New Business,Undefined,290000,0
Watertown (Town of),MA,NC,12,3,New Business,Undefined,10000,0
OVERLAND PARK,KS,KS,60,8,Existing Business,Urban,95000,0
SUN CITY,AZ,SD,120,6,New Business,Undefined,345000,0
Alhambra,CA,SD,84,16,New Business,Undefined,20420,0
BOISE,ID,SD,96,7,New Business,Undefined,230000,0
MT PLEASANT,MI,WI,93,50,Existing Business,Rural,150000,0
DILLON,CO,SD,288,3,New Business,Undefined,1230000,0
Des Moines,IA,SD,84,3,New Business,Undefined,49403,0
PASADENA,CA,CA,84,60,New Business,Urban,122977,0
GARDEN GROVE,CA,CA,84,1,Existing Business,Undefined,95000,0
Sebring,FL,SD,84,1,New Business,Undefined,25000,0
Briggsdale,CO,SD,84,1,New Business,Undefined,10000,0
THE COLONY,TX,CA,84,1,Existing Business,Undefined,76300,0
California,MD,SD,84,1,New Business,Undefined,20000,0
JACKSONVILLE,NC,NC,12,19,New Business,Undefined,200000,0
Canton (Town of),MA,SD,84,8,New Business,Undefined,21701,0
CRANSTON,RI,DE,60,6,New Business,Undefined,20000,0
NEW BRAUNFELS,TX,TX,84,8,Existing Business,Undefined,1000000,0
WICHITA,KS,NC,84,5,Existing Business,Undefined,83400,0
Las Vegas,NV,SD,84,2,New Business,Undefined,7990,0
READING (TOWN OF),MA,MA,84,4,New Business,Undefined,100000,0
BRANDON,FL,FL,84,5,Existing Business,Urban,275000,0
EL CERRITO,CA,TX,120,10,New Business,Undefined,50000,0
Cambridge,MA,NC,12,1,New Business,Undefined,100000,0
Reading (Town of),MA,NC,12,4,New Business,Undefined,100000,0
HOUSTON,TX,TX,180,6,New Business,Undefined,157500,0
NORTH PROVIDENCE,RI,NC,12,18,New Business,Undefined,100000,0
CHARLOTTE,NC,NC,60,7,Existing Business,Undefined,65000,0
Lynnfield (Town of),MA,NC,12,5,New Business,Undefined,25000,0
TOLEDO,OH,OH,120,4,New Business,Undefined,31600,0
Charlotte,NC,SD,84,12,New Business,Undefined,25000,0
CHICO,CA,CA,300,5,New Business,Undefined,270000,0
Northboro (RR name for Northbo,MA,NC,60,7,New Business,Undefined,20000,0
TOLEDO,OH,OH,60,4,New Business,Undefined,10500,0
Provincetown (Town of),MA,NC,12,3,New Business,Undefined,10000,0
CORAL GABLES,FL,FL,240,18,New Business,Undefined,500000,0
New York,NY,SD,84,2,New Business,Undefined,20000,0
PHOENIX,AZ,AZ,84,1,Existing Business,Undefined,60000,0
Upper Marlboro (Marlboro),MD,SD,84,10,New Business,Undefined,25000,0
CHARLOTTE,NC,SD,300,1,New Business,Undefined,221000,0
RED BLUFF,CA,SD,84,5,New Business,Undefined,25000,0
GLEN GARDER,NJ,NJ,240,6,Existing Business,Undefined,700000,0
Ignacio,CO,SD,84,3,New Business,Undefined,25000,0
Worcester,MA,NC,12,2,New Business,Undefined,40000,0
DEL MAR,CA,SD,108,2,New Business,Undefined,112000,0
PETALUMA,CA,CA,102,10,New Business,Undefined,80000,0
Denver,CO,SD,84,9,New Business,Undefined,25000,0
OREGON,WI,WI,180,1,New Business,Undefined,134200,0
Lawrence,MA,NC,180,2,New Business,Undefined,70000,0
BOHEMIA,NY,NY,10,22,Existing Business,Undefined,125000,1
New Haven,CT,NC,12,1,New Business,Undefined,75000,0
Salem,NH,RI,12,1,New Business,Undefined,100000,0
LOVELAND,CO,CO,240,6,New Business,Undefined,108000,0
WARWICK (RR NAME APPONAUG,RI,NC,13,1,New Business,Undefined,20000,0
Guilford (census name for Guil,CT,RI,12,3,New Business,Undefined,20000,0
Boston,MA,NC,12,3,New Business,Undefined,25000,0
Boston,MA,NC,60,40,New Business,Undefined,25000,0
FISHERS (CORPORATE NAME FOR FI,IN,DE,90,72,Existing Business,Urban,255000,0
LAKE OSWEGO,OR,OR,120,1,Existing Business,Undefined,300000,0
Walpole,MA,NC,60,4,New Business,Undefined,20000,0
CRANSTON,RI,RI,96,55,New Business,Undefined,400000,0
TONAWANDA,NY,NY,240,9,Existing Business,Undefined,100000,0
LINCOLN,RI,DE,60,4,New Business,Undefined,48000,0
PROVIDENCE,RI,NC,36,1,New Business,Undefined,10000,0
NEWBURYPORT,MA,MA,60,1,Existing Business,Undefined,31000,0
PROVIDENCE,RI,NC,12,5,New Business,Undefined,50000,0
LAS CRUCES,NM,TX,12,20,Existing Business,Urban,50000,0
Berkley,MA,NC,12,7,New Business,Undefined,40000,0
Litchfield,NH,RI,19,2,New Business,Undefined,100000,0
JESUP,IA,IA,16,2,New Business,Undefined,50000,1
Cambridge,MA,NC,12,12,New Business,Undefined,50000,0
GARDEN GROVE,CA,CA,60,7,New Business,Urban,85163,0
WINSTON-SALEM,NC,DE,120,30,New Business,Undefined,136000,0
Quincy,MA,NC,12,25,New Business,Undefined,50000,0
PROVIDENCE,RI,NC,12,20,New Business,Undefined,15000,0
COVENTRY (WASHINGTON),RI,NC,12,7,New Business,Undefined,100000,0
Holden (Holden Center),MA,NC,60,32,New Business,Undefined,20000,0
TONAWANDA,NY,NY,84,9,Existing Business,Undefined,100000,0
Holbrook,MA,NC,12,1,New Business,Undefined,25000,0
Boston,MA,NC,12,1,New Business,Undefined,100000,0
Hartford,CT,RI,3,19,New Business,Undefined,70000,0
EAST PROVIDENCE,RI,DE,12,4,New Business,Undefined,25000,0
Cohasset,MA,NC,12,1,New Business,Undefined,50000,0
RENO,NV,SD,27,10,New Business,Urban,90518,1
LE SUEUR,MN,MN,149,6,New Business,Undefined,100000,0
Swansea (Swansea Village),MA,NC,12,4,New Business,Undefined,50000,0
VIRGINIA BEACH,VA,CA,84,1,Existing Business,Urban,10000,0
Holyoke,MA,NC,12,30,New Business,Undefined,25000,0
BUFFALO,NY,NY,180,1,Existing Business,Undefined,150000,0
Weston (Town of),MA,NC,12,10,Existing Business,Undefined,100000,0
SEATTLE,WA,OH,41,1,Existing Business,Urban,74000,1
Winchester (Town of),MA,RI,12,2,New Business,Undefined,25000,0
LA CROSSE,WI,WI,246,1,Existing Business,Undefined,73500,0
Langhorne,PA,PA,60,2,New Business,Undefined,55000,0
POMPANO BEACH,FL,DE,240,2,Existing Business,Undefined,184000,0
Hartford,CT,RI,12,1,New Business,Undefined,20000,0
Bourne,MA,RI,12,7,New Business,Undefined,50000,0
Boston,MA,RI,12,50,New Business,Undefined,20000,0
BELLEVIEW,FL,AL,12,1,New Business,Undefined,25000,1
YULEE,FL,FL,297,3,Existing Business,Undefined,330000,0
Watertown (Town of),MA,RI,12,2,New Business,Undefined,10000,0
West Reading,PA,PA,18,3,New Business,Undefined,20000,0
SANTA ROSA,CA,CA,60,20,Existing Business,Urban,250000,1
ROSEVILLE,MN,MN,42,10,Existing Business,Undefined,65000,0
Wrentham (census name Wrentham,MA,RI,12,5,New Business,Undefined,25000,0
Hartford,CT,RI,27,5,New Business,Undefined,10000,0
Brookline (Town of),MA,RI,12,1,New Business,Undefined,5000,0
MERIDEN,CT,CT,12,6,New Business,Undefined,100000,0
AVON,CT,DE,60,3,Existing Business,Undefined,60000,0
Middletown,CT,RI,12,3,New Business,Undefined,15000,0
CHANDLER,AZ,SD,60,4,New Business,Urban,25000,0
WHITE PLAINS  *102,NY,NY,120,60,Existing Business,Undefined,500000,1
SEVERNA PARK,MD,MD,60,1,Existing Business,Undefined,35000,0
Belmont (Town of),MA,RI,12,3,New Business,Undefined,20000,0
CARLSBAD,CA,SD,60,2,New Business,Urban,45000,0
ROCHESTER,NY,NY,240,24,New Business,Undefined,218000,0
WEST READING,PA,PA,84,46,New Business,Undefined,100000,0
North Haven (Town of),CT,RI,12,9,New Business,Undefined,75000,0
WEST READING,PA,PA,60,46,New Business,Undefined,100000,0
SAN DIEGO,CA,CA,57,8,New Business,Urban,246800,1
RICHMOND HILL,GA,GA,60,1,New Business,Undefined,21200,0
WEST READING,PA,PA,60,46,New Business,Undefined,100000,0
Lowell,MA,RI,12,5,New Business,Undefined,50000,0
MEDFORD,NJ,NY,120,4,Existing Business,Undefined,61500,0
Blackstone,MA,RI,104,1,New Business,Undefined,30000,0
BEAVERTON,OR,SD,120,5,New Business,Urban,419600,0
HAWLEY,MN,SD,82,1,New Business,Rural,173145,0
SOUTHWEST HARBOR,ME,ME,298,5,New Business,Undefined,515000,0
Braintree (Town of),MA,RI,14,12,New Business,Undefined,50000,0
Lancaster,PA,PA,12,22,New Business,Undefined,80000,0
DOVER,NH,NH,84,1,New Business,Rural,133880,0
GREAT BARRINGTON,MA,MA,60,1,Existing Business,Undefined,60000,0
Reading,PA,PA,12,6,Existing Business,Undefined,100000,0
Reading,PA,PA,61,7,New Business,Undefined,100000,0
SPRINGFIELD,MO,MO,84,2,Existing Business,Undefined,15000,0
BOSTON,MA,RI,12,6,New Business,Undefined,35000,0
CONWAY,AR,AR,120,25,Existing Business,Undefined,112500,0
Acton,MA,RI,12,5,New Business,Undefined,75000,0
Rutland (census name for Rutla,MA,RI,127,4,New Business,Undefined,75000,0
Springfield,MA,RI,58,3,New Business,Undefined,100000,0
NASHVILLE,TN,TN,12,12,New Business,Undefined,200000,0
TORRINGTON,CT,DE,44,1,New Business,Undefined,15000,0
TOLLESON,AZ,SD,32,1,New Business,Urban,153553,1
OGDEN,UT,UT,240,1,New Business,Undefined,363000,0
Braintree (Town of),MA,RI,45,5,New Business,Undefined,40000,0
Haverhill,MA,RI,72,2,New Business,Undefined,55000,0
BROOKLYN,NY,NY,85,25,New Business,Undefined,250000,0
BOSTON,MA,RI,48,2,New Business,Undefined,60000,0
Murray,UT,IL,60,20,New Business,Undefined,100000,0
COLO. SPRINGS,CO,CO,300,3,Existing Business,Undefined,365000,0
Logan,UT,IL,120,1,New Business,Undefined,50000,0
Phoenix,AZ,IL,84,20,New Business,Undefined,50000,0
Bridgewater (census name for B,MA,RI,12,4,New Business,Undefined,50000,0
FARGO,ND,ND,60,8,New Business,Undefined,60000,0
Denver,CO,IL,84,18,New Business,Undefined,27500,0
Quincy,MA,RI,31,7,Existing Business,Undefined,75000,0
LAKEVILLE,MN,MN,58,5,New Business,Undefined,25020,0
Rochester,NY,OH,12,2,New Business,Undefined,100000,0
Temple,PA,PA,58,7,New Business,Undefined,35000,0
WEST JORDAN,UT,UT,240,22,New Business,Undefined,248000,0
Lincoln (census name for Linco,ME,OH,120,2,New Business,Undefined,50000,0
BURT,IA,IA,112,2,New Business,Undefined,262000,0
York,ME,OH,120,9,Existing Business,Undefined,48000,0
Boston,MA,RI,84,7,New Business,Undefined,17000,0
PORTLAND,ME,ME,240,10,New Business,Undefined,210000,0
Portland,ME,OH,60,1,New Business,Undefined,20000,0
SCHAUMBURG,IL,IL,84,30,New Business,Undefined,200000,0
Kingston,NY,OH,12,15,New Business,Undefined,30000,0
HASBROUCK HEIGHTS,NJ,IL,36,2,New Business,Undefined,25000,0
East Bridgewater,MA,RI,38,12,New Business,Undefined,25000,0
Saugerties,NY,OH,84,6,Existing Business,Undefined,85000,0
NEW YORK,NY,IL,36,4,New Business,Undefined,35000,0
Kingston,NY,OH,36,15,New Business,Undefined,36000,0
BATESVILLE,MS,MS,84,10,New Business,Undefined,90000,0
Scotia,NY,OH,60,3,New Business,Undefined,25000,0
COLO. SPRINGS,CO,CO,300,3,Existing Business,Undefined,419000,0
Pound Ridge,NY,OH,12,2,New Business,Undefined,100000,0
Milton,VT,OH,36,10,New Business,Undefined,100000,0
JACKSONVILLE,NC,DE,73,214,New Business,Undefined,1000000,0
WILLIAMSTOWN,NJ,PA,36,7,New Business,Undefined,25000,0
SOUTH PORTLAND,ME,OH,42,2,New Business,Undefined,99000,0
BRISTOL,RI,NC,47,20,New Business,Undefined,25000,0
RICHMOND,VA,VA,84,9,Existing Business,Undefined,100000,0
Westwood,MA,RI,12,2,New Business,Undefined,20000,0
NEW YORK,NY,OH,12,10,New Business,Undefined,100000,0
NEW YORK,NY,IL,36,1,New Business,Undefined,69999,0
Holbrook,NY,NY,60,4,New Business,Undefined,15000,0
EDINBURG,TX,TX,12,17,New Business,Undefined,100000,0
West Seneca,NY,OH,84,8,Existing Business,Undefined,50000,0
UNION GROVE,WI,WI,84,6,New Business,Undefined,100000,0
West Seneca,NY,OH,60,8,Existing Business,Undefined,15000,0
Fulton,NY,OH,60,1,New Business,Undefined,28500,0
Cape Elizabeth (Town of),ME,OH,12,25,New Business,Undefined,100000,0
CRANSTON,RI,NC,12,4,New Business,Undefined,75000,0
CHESTERTOWN,MD,MD,60,2,Existing Business,Undefined,35000,0
Tuckahoe,NY,OH,60,3,New Business,Undefined,20000,0
Newburgh,NY,OH,11,7,New Business,Undefined,45000,1
JUNCTION CITY,KS,KS,84,3,Existing Business,Undefined,35000,0
Wilmington,VT,OH,60,17,Existing Business,Undefined,25000,0
NEW YORK,NY,IL,48,1,New Business,Undefined,20000,0
Clyde,NY,OH,60,10,Existing Business,Undefined,50000,0
WHITE PLAINS,NY,IL,36,1,New Business,Undefined,43591,0
Cape Elizabeth (Town of),ME,OH,48,25,New Business,Undefined,50000,0
PORTSMOUTH,RI,RI,12,7,New Business,Undefined,50000,0
Pepperell,MA,RI,84,1,New Business,Undefined,25000,0
Boston,MA,RI,134,4,New Business,Undefined,50000,0
GOUVERNEUR,NY,NY,84,7,Existing Business,Rural,47000,0
Marcellus,NY,OH,60,5,Existing Business,Undefined,30000,0
EDWARDS,IL,IL,240,4,New Business,Rural,161000,0
LEWISTOWN,ID,MT,180,12,Existing Business,Rural,241000,0
CONRAD,MT,MT,180,6,New Business,Rural,85000,0
South Burlington,VT,OH,60,7,New Business,Undefined,63000,0
DALLAS,TX,TX,84,4,New Business,Undefined,34400,0
Milton,VT,OH,15,6,New Business,Undefined,25000,1
Saratoga Springs,NY,OH,84,3,New Business,Undefined,65000,0
BOISE,ID,ID,84,8,Existing Business,Undefined,52500,0
Orchard Park,NY,OH,120,4,New Business,Undefined,32000,0
ROSWELL,GA,CA,288,9,New Business,Undefined,625000,0
Sodus,NY,OH,180,4,New Business,Undefined,75000,0
Worcester,MA,RI,79,2,New Business,Undefined,10000,0
IRVING,TX,IL,84,2,New Business,Undefined,250000,0
COLUMBUS,OH,IL,60,3,New Business,Undefined,20000,0
Watertown (Town of),MA,RI,12,3,New Business,Rural,10000,0
ANAHEIM,CA,CA,240,45,New Business,Urban,401000,0
LINCOLN PARK,NJ,CA,53,2,Existing Business,Undefined,50100,1
Bethlehem,PA,PA,39,4,New Business,Undefined,100000,0
Albany,NY,OH,60,1,New Business,Undefined,11106,0
ELLICOTT CITY,MD,MD,6,6,New Business,Undefined,550000,0
Barrington,RI,NC,12,20,New Business,Undefined,100000,0
BATTLE MOUNTAIN,NV,SD,255,14,Existing Business,Undefined,665000,1
West Sand Lake,NY,OH,60,4,New Business,Undefined,45000,0
Amherst,NH,OH,60,18,New Business,Undefined,100000,0
ROCK HILL,SC,MO,55,1,Existing Business,Urban,126353,1
Bethlehem,PA,PA,12,4,New Business,Undefined,100000,0
South China,ME,OH,60,2,New Business,Undefined,30000,0
Nashua,NH,RI,60,1,Existing Business,Undefined,20000,0
Weymouth (Town of),MA,RI,12,1,Existing Business,Undefined,57000,0
South China,ME,OH,60,2,Existing Business,Undefined,35000,0
Niskayuna (Town of),NY,OH,12,1,New Business,Undefined,30000,0
Arlington (Town of),MA,NC,133,10,New Business,Undefined,50000,0
Clifton Park,NY,OH,12,9,New Business,Undefined,100000,0
Boston,MA,RI,12,3,Existing Business,Undefined,30000,0
ORLANDO,FL,NY,95,1,Existing Business,Urban,105000,1
North Branch,NY,OH,35,2,Existing Business,Undefined,23000,1
TRAVERSE CITY,MI,MI,12,10,New Business,Urban,1000000,0
Cheektowaga (Town of),NY,OH,60,1,Existing Business,Undefined,64000,0
Buffalo,NY,OH,60,1,Existing Business,Undefined,9900,0
Buffalo,NY,OH,84,1,Existing Business,Undefined,10000,0
Orchard Park,NY,OH,84,4,New Business,Undefined,23000,0
Chicopee,MA,OH,12,15,New Business,Undefined,100000,0
Boston,MA,RI,59,1,New Business,Undefined,25000,0
MUSKEGON,MI,MI,5,4,New Business,Urban,25000,1
Mexico,NY,OH,62,9,Existing Business,Undefined,37295,0
OCEAN CITY,MD,DE,57,5,New Business,Urban,30000,1
Atkinson,NH,RI,57,2,Existing Business,Undefined,43000,0
DECATUR,AL,TN,12,3,Existing Business,Urban,93868,0
South Portland,ME,OH,120,9,New Business,Undefined,65000,0
BELGRADE,MT,MT,12,28,New Business,Rural,333330,0
Boothbay Harbor,ME,OH,12,1,Existing Business,Undefined,15000,0
LACEY,WA,OH,72,2,Existing Business,Undefined,100000,0
Rockland,ME,OH,13,2,New Business,Undefined,85000,1
Brocton,NY,OH,84,1,New Business,Undefined,40000,0
ALBANY,NY,OH,84,10,Existing Business,Undefined,100000,0
RIDGELAND,MS,CA,68,1,Existing Business,Urban,5000,1
Rochester,NY,OH,36,23,Existing Business,Undefined,25000,0
BOSTON,MA,RI,84,11,Existing Business,Urban,450000,0
Hudson,NY,OH,60,7,New Business,Undefined,100000,0
Hudson,NY,OH,60,7,New Business,Undefined,60000,0
Brocton,NY,OH,60,1,New Business,Undefined,10000,0
Fairbanks,AK,OH,6,10,New Business,Undefined,66500,0
Spencerport,NY,OH,60,3,Existing Business,Undefined,25000,0
PORTLAND,ME,OH,48,2,Existing Business,Undefined,48000,0
PLEASANT GROVE,UT,IL,54,5,New Business,Rural,81087,1
LAS VEGAS,NV,IL,84,1,New Business,Rural,13154,0
CICERO,NY,OH,84,6,New Business,Undefined,25000,0
East Merrimack,NH,OH,12,5,New Business,Undefined,100000,0
ALLENTOWN,PA,PA,120,3,New Business,Rural,578500,0
HUGHSON,CA,TX,123,1,Existing Business,Urban,177000,0
Buffalo,NY,OH,60,5,Existing Business,Undefined,20000,0
CLEVELAND,MO,MO,73,6,New Business,Urban,40254,0
ORCHARD PARK,NY,NY,82,6,Existing Business,Undefined,250000,0
LYNBROOK,NY,CA,60,3,Existing Business,Urban,5000,1
Boston,MA,RI,12,5,New Business,Undefined,60000,0
East Merrimack,NH,OH,12,5,New Business,Undefined,100000,0
MOUNTVILLE,PA,PA,120,57,Existing Business,Undefined,600000,1
KENNEBUNK (CENSUS NAME FO,ME,OH,48,3,New Business,Undefined,80000,0
Cobleskill,NY,OH,60,5,Existing Business,Undefined,100000,0
BUFFALO,NY,NY,84,3,Existing Business,Undefined,110473,0
SLIDELL,LA,LA,60,40,Existing Business,Undefined,120000,0
Albany,NY,OH,144,2,Existing Business,Undefined,95000,0
SEATTLE,WA,IL,84,4,New Business,Rural,70405,0
OAKLAND,CA,SD,83,6,New Business,Urban,75633,0
Portland,ME,OH,84,3,New Business,Undefined,72824,0
Scotia,NY,OH,60,5,Existing Business,Undefined,50000,0
ST. JOHN,ND,ND,46,11,New Business,Rural,53000,1
Fairport,NY,OH,18,1,New Business,Undefined,25000,1
SAFETY HARBOR,FL,CA,120,4,New Business,Rural,104000,0
NORCROSS,GA,FL,240,1,New Business,Urban,1197000,0
Amherst,NH,OH,60,1,Existing Business,Undefined,50000,0
Dedham (Town of),MA,RI,12,3,New Business,Undefined,50000,0
MANCHESTER,CT,MA,84,3,New Business,Urban,366166,0
Bridgton (census name for Brid,ME,OH,60,1,New Business,Undefined,15000,0
Boston,MA,RI,12,5,New Business,Undefined,100000,0
Rochester,NY,OH,60,3,New Business,Undefined,252001,0
OCEAN CITY,MD,DE,57,5,New Business,Urban,20000,1
East Syracuse,NY,OH,84,3,Existing Business,Undefined,100000,0
SAN DIEGO,CA,CO,240,5,New Business,Urban,240000,0
Watertown,NY,OH,60,10,New Business,Undefined,70000,0
East Syracuse,NY,OH,60,3,Existing Business,Undefined,21791,0
CARBONDALE,CO,SD,46,1,New Business,Rural,28716,1
Amherst,NH,OH,60,4,Existing Business,Undefined,100000,0
Litchfield,NH,OH,84,2,Existing Business,Undefined,50000,0
Jamestown,NY,OH,84,11,New Business,Undefined,95000,0
